,citybike_station,name,address,phone,latitude,longitude,distance,category,price,rating,review_count
10,Hess at king,Berkeley North,"31 King William Street, Hamilton, ON L8R 1A1, Canada",+19055225858,43.2574045478956,-79.8677145254958,792.5444575825189,"Bars, Canadian (New)",$$$,4.5,43.0
11,Hess at king,The Works,"2 King Street W, Unit 230, Hamilton, ON L8P 1A2, Canada",+19055408500,43.2574961574363,-79.8712256690338,517.5164919251919,"Burgers, Wine Bars, Beer Bar",$$,4.0,37.0
12,Hess at king,Amigos,"109 George Street, Hamilton, ON L8P 1E3, Canada",+19052671532,43.25825,-79.87868,156.29169160867355,"Mexican, Latin American, Cocktail Bars",,4.5,14.0
13,Hess at king,Smoke's Poutinerie,"112 George Street, Hamilton, ON L8P 1E3, Canada",+12893898779,43.25854,-79.87863,128.9456689732675,"Fast Food, Poutineries",$,3.5,38.0
14,Hess at king,Ark and Anchor,"300 King Street W, Hamilton, ON L8P 1B1, Canada",+19057519345,43.2595,-79.87812,82.37414511053889,"Coffee & Tea, Bakeries, Cafes",$$,4.5,14.0
15,Hess at king,Charred Chicken,"244 James Street N, Hamilton, ON L8R 2L2, Canada",+12893960662,43.2627364,-79.8663839,964.3461930123414,Barbeque,$$,4.0,118.0
16,Hess at king,August 8,"1 Wilson Street, Suite 12, Hamilton, ON L8R, Canada",+19055243838,43.25943,-79.86708,821.1130322762258,"Japanese, Dim Sum",$$,4.0,122.0
17,Hess at king,The Burnt Tongue,"182 Locke Street S, Hamilton, ON L8P 4B3, Canada",+12893891156,43.2555538,-79.8858002,793.3544203705632,"Burgers, Soup, Sandwiches",$$,4.5,40.0
18,Hess at king,Papagayo Restaurant,"246 King Street W, Hamilton, ON L8P 1A9, Canada",+19055250309,43.25902,-79.87646,63.27330748627651,Mexican,$$,4.0,10.0
19,Hess at king,Famous Recipe,"158 King Street W, Hamilton, ON L8P 1A6, Canada",+12893899740,43.2580694,-79.8740306,283.12798300914505,Caribbean,,5.0,9.0
20,Bayfront Park,Charred Chicken,"244 James Street N, Hamilton, ON L8R 2L2, Canada",+12893960662,43.2627364,-79.8663839,831.2369951617367,Barbeque,$$,4.0,118.0
21,Bayfront Park,The Burnt Tongue,"10 Cannon St E, Hamilton, ON L8L 1Z5, Canada",+19055361146,43.2605786,-79.8669351,1031.6968295237023,"Burgers, Soup, Sandwiches",$,4.0,87.0
22,Bayfront Park,Saint James Espresso Bar & Eatery,"170 James Street N, Hamilton, ON L8R 2L1, Canada",+12893896565,43.26098,-79.86693,985.3156829894442,"Cafes, Bakeries, Bars",$$,4.5,57.0
23,Bayfront Park,Pho Nhung,"85 Queen St N, Hamilton, ON L8R 2V5, Canada",+19055258008,43.26239,-79.87797,965.0146086753722,Vietnamese,,4.5,17.0
24,Bayfront Park,Mulberry Coffeehouse,"193 James Street N, Hamilton, ON L8R 2L2, Canada",+19059631365,43.26183,-79.86699,905.2495675888539,"Cafes, Sandwiches, Music Venues",$$,4.0,74.0
25,Bayfront Park,Born and Raised,"224 James Street N, Hamilton, ON L8R 2L3, Canada",+12897685233,43.26235,-79.86626,862.4068185095896,"Seafood, American (Traditional), Tapas Bars",$$,3.5,23.0
26,,,,,,,,,,,
27,Bayfront Park,Pho Lac Vien,"430 York Boulevard, Hamilton, ON L8R 3K8, Canada",+19055223525,43.2653164,-79.8808978,891.9493679331216,Vietnamese,$,4.0,19.0
28,Bayfront Park,Synonym,"328 James Street N, Hamilton, ON L8L 1H2, Canada",+19055257974,43.264596686727,-79.8653724789619,710.3501237259535,"Cafes, Wine Bars",,4.5,12.0
29,Bayfront Park,Green Bar,"236 James Street N, Hamilton, ON L8R 2L2, Canada",+12893962288,43.2627485834705,-79.8662985122842,833.4056510119258,"Juice Bars & Smoothies, Vegan",$,4.5,17.0
30,Bayfront Park,Pho Hamilton,"115 Park Street N, Hamilton, ON L8R 2N2, Canada",+12893896668,43.261299,-79.8707656,889.5281662409875,Vietnamese,,4.5,6.0
31,Bayfront Park,Buona Vita Pizza,"82 Queen Street  N, Hamilton, ON L8R 2V4, Canada",+19055771000,43.262024,-79.8775857,953.5593143666091,"Italian, Pizza",$,4.5,13.0
32,,,,,,,,,,,
33,Bayfront Park,Mesa,"255 James Street N, Hamilton, ON L8R 2L2, Canada",+12892469696,43.26306,-79.86645,795.332660078304,Mexican,$$,4.0,57.0
34,Bayfront Park,Harbour Diner,"486 James Street N, Hamilton, ON L8L 1J1, Canada",+19055230153,43.2694,-79.86329,649.5871240077972,Diners,$$,3.5,57.0
35,Bayfront Park,Pho Dui Bo,"15 Cannon Street E, Unit 2, Hamilton, ON L8L, Canada",+19055250100,43.2607973988137,-79.8665680736303,1019.7476694497001,Vietnamese,$,3.5,28.0
36,Bayfront Park,Dunas Verdes Cafe,"253 James St N, Hamilton, ON L8R 2L2, Canada",+19055224818,43.26303,-79.86658,798.0543494073052,Cafes,$$,3.5,7.0
37,Bayfront Park,Stonewalls Restaurant,"339 York Boulevard, Hamilton, ON L8R 2X9, Canada",+19055770808,43.26307498367439,-79.87841622189944,898.228005030801,"American (Traditional), Music Venues",$$,2.5,36.0
38,Bayfront Park,Wild Orchid,"286 James St N, Hamilton, ON L8R 2L3, Canada",+19055287171,43.26352,-79.86564,786.7397832979512,"Portuguese, Seafood",$$,3.0,17.0
39,Bayfront Park,The Brain,"199 James St N, Hamilton, ON L8R 2L1, Canada",+12893968508,43.26193,-79.86695,893.277963916912,Bars,$,4.0,19.0
40,Bay at Strachan,Charred Chicken,"244 James Street N, Hamilton, ON L8R 2L2, Canada",+12893960662,43.2627364,-79.8663839,583.0459379057457,Barbeque,$$,4.0,118.0
41,Bay at Strachan,August 8,"1 Wilson Street, Suite 12, Hamilton, ON L8R, Canada",+19055243838,43.25943,-79.86708,935.608571445336,"Japanese, Dim Sum",$$,4.0,122.0
42,Bay at Strachan,Synonym,"328 James Street N, Hamilton, ON L8L 1H2, Canada",+19055257974,43.264596686727,-79.8653724789619,417.39370217568523,"Cafes, Wine Bars",,4.5,12.0
43,Bay at Strachan,La Luna,"306 King Street W, Hamilton, ON L8P 1B1, Canada",+19055770233,43.25942165323912,-79.87848757635106,1269.5961780311338,Middle Eastern,$$,4.0,63.0
44,Bay at Strachan,The Burnt Tongue,"10 Cannon St E, Hamilton, ON L8L 1Z5, Canada",+19055361146,43.2605786,-79.8669351,813.4479944796863,"Burgers, Soup, Sandwiches",$,4.0,87.0
45,Bay at Strachan,Saint James Espresso Bar & Eatery,"170 James Street N, Hamilton, ON L8R 2L1, Canada",+12893896565,43.26098,-79.86693,764.659481259404,"Cafes, Bakeries, Bars",$$,4.5,57.0
46,Bay at Strachan,Born and Raised,"224 James Street N, Hamilton, ON L8R 2L3, Canada",+12897685233,43.26235,-79.86626,618.1429753305657,"Seafood, American (Traditional), Tapas Bars",$$,3.5,23.0
47,Bay at Strachan,Mulberry Coffeehouse,"193 James Street N, Hamilton, ON L8R 2L2, Canada",+19059631365,43.26183,-79.86699,679.5655940089003,"Cafes, Sandwiches, Music Venues",$$,4.0,74.0
48,Bay at Strachan,Pho Nhung,"85 Queen St N, Hamilton, ON L8R 2V5, Canada",+19055258008,43.26239,-79.87797,1030.7711263594738,Vietnamese,,4.5,17.0
49,Bay at Strachan,Green Bar,"236 James Street N, Hamilton, ON L8R 2L2, Canada",+12893962288,43.2627485834705,-79.8662985122842,583.2430979153173,"Juice Bars & Smoothies, Vegan",$,4.5,17.0
50,Bay at Strachan,Harbour Diner,"486 James Street N, Hamilton, ON L8L 1J1, Canada",+19055230153,43.2694,-79.86329,411.0870863078402,Diners,$$,3.5,57.0
51,Bay at Strachan,Mesa,"255 James Street N, Hamilton, ON L8R 2L2, Canada",+12892469696,43.26306,-79.86645,545.0803595860071,Mexican,$$,4.0,57.0
52,Bay at Strachan,Hutch's Harbour Front,"325 Bay Street N, Hamilton, ON L8L 1M5, Canada",+19055465508,43.26768,-79.86827,29.01476989911075,"Fish & Chips, Ice Cream & Frozen Yogurt, Fast Food",$,3.0,16.0
53,Bay at Strachan,The Coop,"274-274 King Street W, Hamilton, ON L8P 1J6, Canada",+12897782667,43.2591337,-79.8774391,1238.926704137823,"Sandwiches, Chicken Shop, Poutineries",$$,4.0,43.0
54,Bay at Strachan,Pho Hamilton,"115 Park Street N, Hamilton, ON L8R 2N2, Canada",+12893896668,43.261299,-79.8707656,764.8468888985551,Vietnamese,,4.5,6.0
55,Bay at Strachan,Buona Vita Pizza,"82 Queen Street  N, Hamilton, ON L8R 2V4, Canada",+19055771000,43.262024,-79.8775857,1016.3837198066152,"Italian, Pizza",$,4.5,13.0
56,,,,,,,,,,,
57,Bay at Strachan,Dunas Verdes Cafe,"253 James St N, Hamilton, ON L8R 2L2, Canada",+19055224818,43.26303,-79.86658,547.0591429325655,Cafes,$$,3.5,7.0
58,Bay at Strachan,Castelli Cucina,"337 James Street N, Hamilton, ON L8L 1H3, Canada",+12893893065,43.26492,-79.86576,375.9772624234339,"Italian, Pizza",,3.5,10.0
59,Bay at Strachan,Wild Orchid,"286 James St N, Hamilton, ON L8R 2L3, Canada",+19055287171,43.26352,-79.86564,515.211640399055,"Portuguese, Seafood",$$,3.0,17.0
60,Bay at Mulberry,Hambrgr,"49 King William Street, Hamilton, ON L8R 1A2, Canada",+12893891212,43.25721,-79.8669,772.6327741353772,"Burgers, Beer Bar",$$,4.5,202.0
61,Bay at Mulberry,The Mule,"41 King William Street, Hamilton, ON L8R 1A2, Canada",+12893892555,43.25726,-79.86713,758.954825575541,Mexican,$$,4.0,177.0
62,Bay at Mulberry,Charred Chicken,"244 James Street N, Hamilton, ON L8R 2L2, Canada",+12893960662,43.2627364,-79.8663839,441.8086991217038,Barbeque,$$,4.0,118.0
63,Bay at Mulberry,August 8,"1 Wilson Street, Suite 12, Hamilton, ON L8R, Canada",+19055243838,43.25943,-79.86708,564.1628112857588,"Japanese, Dim Sum",$$,4.0,122.0
64,Bay at Mulberry,The French,"37 King William Street, Hamilton, ON L8R 1A1, Canada",+19055283737,43.25741,-79.86748,734.6326065373987,"Bistros, French",$$$,4.0,98.0
65,Bay at Mulberry,Berkeley North,"31 King William Street, Hamilton, ON L8R 1A1, Canada",+19055225858,43.2574045478956,-79.8677145254958,724.3432431111585,"Bars, Canadian (New)",$$$,4.5,43.0
66,Bay at Mulberry,Pho Hamilton,"115 Park Street N, Hamilton, ON L8R 2N2, Canada",+12893896668,43.261299,-79.8707656,227.3024363784246,Vietnamese,,4.5,6.0
67,Bay at Mulberry,Saint James Espresso Bar & Eatery,"170 James Street N, Hamilton, ON L8R 2L1, Canada",+12893896565,43.26098,-79.86693,461.2000937326092,"Cafes, Bakeries, Bars",$$,4.5,57.0
68,Bay at Mulberry,The Burnt Tongue,"10 Cannon St E, Hamilton, ON L8L 1Z5, Canada",+19055361146,43.2605786,-79.8669351,490.14830463946225,"Burgers, Soup, Sandwiches",$,4.0,87.0
69,Bay at Mulberry,Mulberry Coffeehouse,"193 James Street N, Hamilton, ON L8R 2L2, Canada",+19059631365,43.26183,-79.86699,420.3524169179845,"Cafes, Sandwiches, Music Venues",$$,4.0,74.0
70,Bay at Mulberry,Born and Raised,"224 James Street N, Hamilton, ON L8R 2L3, Canada",+12897685233,43.26235,-79.86626,445.9030296945935,"Seafood, American (Traditional), Tapas Bars",$$,3.5,23.0
71,Bay at Mulberry,La Luna,"306 King Street W, Hamilton, ON L8P 1B1, Canada",+19055770233,43.25942165323912,-79.87848757635106,685.0945217577366,Middle Eastern,$$,4.0,63.0
72,Bay at Mulberry,The Works,"2 King Street W, Unit 230, Hamilton, ON L8P 1A2, Canada",+19055408500,43.2574961574363,-79.8712256690338,635.7859810521345,"Burgers, Wine Bars, Beer Bar",$$,4.0,37.0
73,Bay at Mulberry,Pho Nhung,"85 Queen St N, Hamilton, ON L8R 2V5, Canada",+19055258008,43.26239,-79.87797,502.1652102775229,Vietnamese,,4.5,17.0
74,Bay at Mulberry,Sagarmatha Curry Palace  Authentic Indian & Nepalese Cuisine,"43 King William Street, Hamilton, ON L8R 1A2, Canada",+19055226999,43.25725,-79.86708,764.5387203438967,"Indian, Himalayan/Nepalese",$$,4.0,40.0
75,Bay at Mulberry,Ajio Sushi,"161 King Street E, Hamilton, ON L8R 1J6, Canada",+19055268888,43.21798,-79.74587,1074.002879363532,"Japanese, Korean",$$,4.0,41.0
76,Bay at Mulberry,Redchurch Cafe + Gallery,"68 King Street E, Hamilton, ON L8N 1A6, Canada",+19054070459,43.25551,-79.86725,927.8834748845034,Cafes,$,4.5,23.0
77,Bay at Mulberry,Green Bar,"236 James Street N, Hamilton, ON L8R 2L2, Canada",+12893962288,43.2627485834705,-79.8662985122842,448.52352876936226,"Juice Bars & Smoothies, Vegan",$,4.5,17.0
78,Bay at Mulberry,D's Cafe Bubble Tea,"94 Cannon Street W, Unit 2, Hamilton, ON L8R 2B6, Canada",+19055404107,43.26193,-79.87164,134.63389025801527,"Bubble Tea, Chicken Wings, Fish & Chips",$,4.0,14.0
79,Bay at Mulberry,Synonym,"328 James Street N, Hamilton, ON L8L 1H2, Canada",+19055257974,43.264596686727,-79.8653724789619,543.4186593098165,"Cafes, Wine Bars",,4.5,12.0
80,City Hall,Hambrgr,"49 King William Street, Hamilton, ON L8R 1A2, Canada",+12893891212,43.25721,-79.8669,624.3597694948429,"Burgers, Beer Bar",$$,4.5,202.0
81,City Hall,The Ship,"23 Augusta Street, Hamilton, ON L8N 1P6, Canada",+19055260792,43.25215,-79.87,573.3439193246847,"Seafood, Pubs, Burgers",$$,4.0,208.0
82,City Hall,The Mule,"41 King William Street, Hamilton, ON L8R 1A2, Canada",+12893892555,43.25726,-79.86713,599.6280119911215,Mexican,$$,4.0,177.0
83,City Hall,The Works,"2 King Street W, Unit 230, Hamilton, ON L8P 1A2, Canada",+19055408500,43.2574961574363,-79.8712256690338,305.36869118170785,"Burgers, Wine Bars, Beer Bar",$$,4.0,37.0
84,City Hall,The French,"37 King William Street, Hamilton, ON L8R 1A1, Canada",+19055283737,43.25741,-79.86748,588.9193688858683,"Bistros, French",$$$,4.0,98.0
85,City Hall,Berkeley North,"31 King William Street, Hamilton, ON L8R 1A1, Canada",+19055225858,43.2574045478956,-79.8677145254958,567.3170618031849,"Bars, Canadian (New)",$$$,4.5,43.0
86,City Hall,Radius,"151 James Street S, Hamilton, ON L8P 2Z5, Canada",+19053931658,43.2523512,-79.8708333,514.6893854561074,"Lounges, American (Traditional), Venues & Event Spaces",$$$,3.0,91.0
87,City Hall,La Luna,"306 King Street W, Hamilton, ON L8P 1B1, Canada",+19055770233,43.25942165323912,-79.87848757635106,487.9598342952772,Middle Eastern,$$,4.0,63.0
88,City Hall,Famous Recipe,"158 King Street W, Hamilton, ON L8P 1A6, Canada",+12893899740,43.2580694,-79.8740306,218.68607589718698,Caribbean,,5.0,9.0
89,City Hall,Charred Chicken,"244 James Street N, Hamilton, ON L8R 2L2, Canada",+12893960662,43.2627364,-79.8663839,985.4165415124763,Barbeque,$$,4.0,118.0
90,City Hall,August 8,"1 Wilson Street, Suite 12, Hamilton, ON L8R, Canada",+19055243838,43.25943,-79.86708,705.7839219960441,"Japanese, Dim Sum",$$,4.0,122.0
91,City Hall,The Burnt Tongue,"182 Locke Street S, Hamilton, ON L8P 4B3, Canada",+12893891156,43.2555538,-79.8858002,910.562716467272,"Burgers, Soup, Sandwiches",$$,4.5,40.0
92,City Hall,Sagarmatha Curry Palace  Authentic Indian & Nepalese Cuisine,"43 King William Street, Hamilton, ON L8R 1A2, Canada",+19055226999,43.25725,-79.86708,613.2118791141473,"Indian, Himalayan/Nepalese",$$,4.0,40.0
93,City Hall,The Burnt Tongue,"10 Cannon St E, Hamilton, ON L8L 1Z5, Canada",+19055361146,43.2605786,-79.8669351,787.1328332008312,"Burgers, Soup, Sandwiches",$,4.0,87.0
94,City Hall,Redchurch Cafe + Gallery,"68 King Street E, Hamilton, ON L8N 1A6, Canada",+19054070459,43.25551,-79.86725,586.4644007855065,Cafes,$,4.5,23.0
95,City Hall,The Coop,"274-274 King Street W, Hamilton, ON L8P 1J6, Canada",+12897782667,43.2591337,-79.8774391,409.9582906197975,"Sandwiches, Chicken Shop, Poutineries",$$,4.0,43.0
96,City Hall,Saint James Espresso Bar & Eatery,"170 James Street N, Hamilton, ON L8R 2L1, Canada",+12893896565,43.26098,-79.86693,817.3020573011734,"Cafes, Bakeries, Bars",$$,4.5,57.0
97,City Hall,Bronzie's Place,"201 James Street S, Hamilton, ON L8P 3A8, Canada",+19055293403,43.2505499,-79.87143,667.733446342609,"Pizza, Italian, Salad",$$,4.5,27.0
98,City Hall,Ajio Sushi,"161 King Street E, Hamilton, ON L8R 1J6, Canada",+19055268888,43.21798,-79.74587,833.1773914686371,"Japanese, Korean",$$,4.0,41.0
99,City Hall,Moodys,"107 George Street, Hamilton, ON L8P 1E3, Canada",+12893096449,43.25821,-79.87853,398.8172343996338,"Pizza, Gluten-Free, Italian",,4.0,13.0
100,Bay at Bold,The Ship,"23 Augusta Street, Hamilton, ON L8N 1P6, Canada",+19055260792,43.25215,-79.87,475.0699065621582,"Seafood, Pubs, Burgers",$$,4.0,208.0
101,Bay at Bold,Hambrgr,"49 King William Street, Hamilton, ON L8R 1A2, Canada",+12893891212,43.25721,-79.8669,781.9427408135574,"Burgers, Beer Bar",$$,4.5,202.0
102,Bay at Bold,Earth To Table : Bread Bar,"258 Locke Street S, Hamilton, ON L8P 4B9, Canada",+19055222999,43.25284,-79.88702,943.5410000594655,"Pizza, Breakfast & Brunch, Salad",$$,4.0,293.0
103,Bay at Bold,The Mule,"41 King William Street, Hamilton, ON L8R 1A2, Canada",+12893892555,43.25726,-79.86713,760.3006299294157,Mexican,$$,4.0,177.0
104,Bay at Bold,Radius,"151 James Street S, Hamilton, ON L8P 2Z5, Canada",+19053931658,43.2523512,-79.8708333,404.2840951361999,"Lounges, American (Traditional), Venues & Event Spaces",$$$,3.0,91.0
105,Bay at Bold,The French,"37 King William Street, Hamilton, ON L8R 1A1, Canada",+19055283737,43.25741,-79.86748,756.9525642438531,"Bistros, French",$$$,4.0,98.0
106,Bay at Bold,Berkeley North,"31 King William Street, Hamilton, ON L8R 1A1, Canada",+19055225858,43.2574045478956,-79.8677145254958,738.0331659353692,"Bars, Canadian (New)",$$$,4.5,43.0
107,Bay at Bold,The Works,"2 King Street W, Unit 230, Hamilton, ON L8P 1A2, Canada",+19055408500,43.2574961574363,-79.8712256690338,529.2363811393084,"Burgers, Wine Bars, Beer Bar",$$,4.0,37.0
108,Bay at Bold,Charred Chicken,"244 James Street N, Hamilton, ON L8R 2L2, Canada",+12893960662,43.2627364,-79.8663839,1230.0627426186877,Barbeque,$$,4.0,118.0
109,Bay at Bold,Bronzie's Place,"201 James Street S, Hamilton, ON L8P 3A8, Canada",+19055293403,43.2505499,-79.87143,483.71861354948777,"Pizza, Italian, Salad",$$,4.5,27.0
110,Bay at Bold,One Duke Restaurant,"1 Duke Street, Hamilton, ON L8P 1W9, Canada",+19055403853,43.25152,-79.87206,368.8832201409205,"Seafood, Canadian (New), Pizza",$$,3.5,23.0
111,Bay at Bold,The Burnt Tongue,"182 Locke Street S, Hamilton, ON L8P 4B3, Canada",+12893891156,43.2555538,-79.8858002,858.566387643317,"Burgers, Soup, Sandwiches",$$,4.5,40.0
112,Bay at Bold,La Luna,"306 King Street W, Hamilton, ON L8P 1B1, Canada",+19055770233,43.25942165323912,-79.87848757635106,670.3268397896815,Middle Eastern,$$,4.0,63.0
113,Bay at Bold,August 8,"1 Wilson Street, Suite 12, Hamilton, ON L8R, Canada",+19055243838,43.25943,-79.86708,919.67237856712,"Japanese, Dim Sum",$$,4.0,122.0
114,Bay at Bold,Sagarmatha Curry Palace  Authentic Indian & Nepalese Cuisine,"43 King William Street, Hamilton, ON L8R 1A2, Canada",+19055226999,43.25725,-79.86708,772.7644556670533,"Indian, Himalayan/Nepalese",$$,4.0,40.0
115,Bay at Bold,The Burnt Tongue,"10 Cannon St E, Hamilton, ON L8L 1Z5, Canada",+19055361146,43.2605786,-79.8669351,1016.0079265195151,"Burgers, Soup, Sandwiches",$,4.0,87.0
116,Bay at Bold,Saint James Espresso Bar & Eatery,"170 James Street N, Hamilton, ON L8R 2L1, Canada",+12893896565,43.26098,-79.86693,1051.387659578622,"Cafes, Bakeries, Bars",$$,4.5,57.0
117,Bay at Bold,Durand Coffee,"142 Charlton Avenue W, Hamilton, ON L8P, Canada",+19053939150,43.2514262245999,-79.8788586258888,387.5662588761628,Coffee & Tea,$$,4.5,28.0
118,Bay at Bold,Ajio Sushi,"161 King Street E, Hamilton, ON L8R 1J6, Canada",+19055268888,43.21798,-79.74587,913.3523831684807,"Japanese, Korean",$$,4.0,41.0
119,Bay at Bold,Planted in Hamilton,"225 John Street S, Hamilton, ON L8N 2C7, Canada",+12893896676,43.2503352762455,-79.8679620207627,716.4290838883411,"Vegan, Gluten-Free, Vegetarian",$$,4.5,37.0
120,James S at Charlton,The Ship,"23 Augusta Street, Hamilton, ON L8N 1P6, Canada",+19055260792,43.25215,-79.87,325.59653006692037,"Seafood, Pubs, Burgers",$$,4.0,208.0
121,James S at Charlton,Bronzie's Place,"201 James Street S, Hamilton, ON L8P 3A8, Canada",+19055293403,43.2505499,-79.87143,111.37047679608902,"Pizza, Italian, Salad",$$,4.5,27.0
122,James S at Charlton,Hambrgr,"49 King William Street, Hamilton, ON L8R 1A2, Canada",+12893891212,43.25721,-79.8669,940.0071220833929,"Burgers, Beer Bar",$$,4.5,202.0
123,James S at Charlton,Radius,"151 James Street S, Hamilton, ON L8P 2Z5, Canada",+19053931658,43.2523512,-79.8708333,317.78866404934166,"Lounges, American (Traditional), Venues & Event Spaces",$$$,3.0,91.0
124,James S at Charlton,The Mule,"41 King William Street, Hamilton, ON L8R 1A2, Canada",+12893892555,43.25726,-79.86713,930.0929839065402,Mexican,$$,4.0,177.0
125,James S at Charlton,Planted in Hamilton,"225 John Street S, Hamilton, ON L8N 2C7, Canada",+12893896676,43.2503352762455,-79.8679620207627,340.5511090485297,"Vegan, Gluten-Free, Vegetarian",$$,4.5,37.0
126,James S at Charlton,One Duke Restaurant,"1 Duke Street, Hamilton, ON L8P 1W9, Canada",+19055403853,43.25152,-79.87206,226.8046205730643,"Seafood, Canadian (New), Pizza",$$,3.5,23.0
127,James S at Charlton,The French,"37 King William Street, Hamilton, ON L8R 1A1, Canada",+19055283737,43.25741,-79.86748,941.4376525109847,"Bistros, French",$$$,4.0,98.0
128,James S at Charlton,Bon Temps,"61 Young Street, Hamilton, ON L8N 1V1, Canada",+19055237177,43.25088,-79.86872,296.2399132747136,Canadian (New),,5.0,7.0
129,James S at Charlton,Berkeley North,"31 King William Street, Hamilton, ON L8R 1A1, Canada",+19055225858,43.2574045478956,-79.8677145254958,932.6804931984552,"Bars, Canadian (New)",$$$,4.5,43.0
130,James S at Charlton,The Works,"2 King Street W, Unit 230, Hamilton, ON L8P 1A2, Canada",+19055408500,43.2574961574363,-79.8712256690338,876.6501184591548,"Burgers, Wine Bars, Beer Bar",$$,4.0,37.0
131,James S at Charlton,Sagarmatha Curry Palace  Authentic Indian & Nepalese Cuisine,"43 King William Street, Hamilton, ON L8R 1A2, Canada",+19055226999,43.25725,-79.86708,937.0321584419493,"Indian, Himalayan/Nepalese",$$,4.0,40.0
132,James S at Charlton,Ajio Sushi,"161 King Street E, Hamilton, ON L8R 1J6, Canada",+19055268888,43.21798,-79.74587,885.9392111884996,"Japanese, Korean",$$,4.0,41.0
133,James S at Charlton,Redchurch Cafe + Gallery,"68 King Street E, Hamilton, ON L8N 1A6, Canada",+19054070459,43.25551,-79.86725,759.3794796955814,Cafes,$,4.5,23.0
134,James S at Charlton,Odds Bar,"164 James Street S, Hamilton, ON L8P 3A2, Canada",+19055220164,43.25192,-79.87138,257.7997052456005,Sports Bars,,4.5,3.0
135,James S at Charlton,La Piazza Allegra,"180 James Street S, Hamilton, ON L8P 4V1, Canada",+19057778970,43.25139,-79.8717,180.78765794573616,Italian,$$,3.5,8.0
136,James S at Charlton,Sapporo Japanese Restaurant,"96 Main St E, Hamilton, ON L8N 1G3, Canada",+19055271668,43.25429,-79.866,683.8076065832387,Japanese,$$,3.5,91.0
137,James S at Charlton,Royal Pizza & Wings,"180 James Street S, Hamilton, ON L8P 4V1, Canada",+19055294242,43.25139,-79.8717,180.78765794573616,"Pizza, Chicken Wings",$,3.5,21.0
138,James S at Charlton,Burrito Boyz,"66 King Street E, Hamilton, ON L8N 1A6, Canada",+19055292699,43.2557373046875,-79.8669128417969,796.1309770971842,Mexican,$,4.0,44.0
139,James S at Charlton,The Pheasant Plucker,"20 Augusta Street, Hamilton, ON L8N 1P7, Canada",+19055299000,43.2517799,-79.8703,283.32778795632765,"Pubs, British",$$,3.0,24.0
140,Oxford at York,Hambrgr,"49 King William Street, Hamilton, ON L8R 1A2, Canada",+12893891212,43.25721,-79.8669,1199.800417900505,"Burgers, Beer Bar",$$,4.5,202.0
141,Oxford at York,Pho Nhung,"85 Queen St N, Hamilton, ON L8R 2V5, Canada",+19055258008,43.26239,-79.87797,286.0318895249107,Vietnamese,,4.5,17.0
142,Oxford at York,The Mule,"41 King William Street, Hamilton, ON L8R 1A2, Canada",+12893892555,43.25726,-79.86713,1180.4728124896656,Mexican,$$,4.0,177.0
143,Oxford at York,Pho Lac Vien,"430 York Boulevard, Hamilton, ON L8R 3K8, Canada",+19055223525,43.2653164,-79.8808978,264.90395604769895,Vietnamese,$,4.0,19.0
144,Oxford at York,The French,"37 King William Street, Hamilton, ON L8R 1A1, Canada",+19055283737,43.25741,-79.86748,1156.0321101316044,"Bistros, French",$$$,4.0,98.0
145,Oxford at York,La Luna,"306 King Street W, Hamilton, ON L8P 1B1, Canada",+19055770233,43.25942165323912,-79.87848757635106,574.5252021735669,Middle Eastern,$$,4.0,63.0
